url	slug	yc_name	yc_batch	news_count	news_date	news_title	news_url	parse_status
https://www.ycombinator.com/companies/bootloop	bootloop	BootLoop	S25	0				ok
https://www.ycombinator.com/companies/orange-slice	orange-slice	Orange Slice	S25	0				ok
https://www.ycombinator.com/companies/channel3	channel3	Channel3	S25	1	Dec 10, 2025	Channel3 raises $6M to build a database of every product on the internet - Channel3 Blog	https://trychannel3.com/blog/channel3-raises-6m	ok
https://www.ycombinator.com/companies/luminal	luminal	Luminal	S25	1	Nov 17, 2025	Luminal raises $5.3 million to build a better GPU code framework | TechCrunch	https://techcrunch.com/2025/11/17/luminal-raises-5-3-million-to-build-a-better-gpu-code-framework/	ok
https://www.ycombinator.com/companies/proliferate	proliferate	Proliferate	S25	1	Sep 15, 2025	The 9 most sought-after startups from YC Demo Day | TechCrunch	https://techcrunch.com/2025/09/15/the-9-most-sought-after-startups-from-yc-demo-day/	ok
https://www.ycombinator.com/companies/monarcha	monarcha	Monarcha	S25	0				ok
https://www.ycombinator.com/companies/pingo-ai	pingo-ai	Pingo AI	S25	0				ok
https://www.ycombinator.com/companies/perseus-defense	perseus-defense	Perseus Defense	S25	0				ok
https://www.ycombinator.com/companies/kopra-bio	kopra-bio	Kopra Bio	S24	0				ok
https://www.ycombinator.com/companies/autumn	autumn	Autumn	S25	0				ok
